date,likes,content,sentiment,confidence,weighted_sentiment_score
2024-02-28 03:00,1,근데 던파 안한지 오래됬는데 어쩌다가 사도에서 안개신으로 바뀜 카인은 어디갔음,neutral,0.9319993,0.6931471805599453
2024-02-28 03:00,1,사도랑 신은 무슨 관계임,neutral,0.9845206,0.6931471805599453
2024-02-28 04:00,7,장지는 시청자가 좀 그렇네광고받는거도 말을 무슨 장지 레바 체재로 가자 이런 헛소리를 하고있니장지야 던파는 접고 가끔가다 보고있지만 시청자관리좀 해,negative,0.9989753,-2.079441541679836
2024-02-28 04:00,7, 이제 너도 욕안먹고 롱런해야지,negative,0.9972824,-2.079441541679836
2024-02-28 09:00,0,니가 직접 하던가,neutral,0.94164777,0.0
2024-02-28 09:00,0,버프 시전모션 맘에 드넹,positive,0.9973061,0.0
2024-02-28 09:00,0,트븜보다 좋은진모르겠는데 개이쁘네,positive,0.9985273,0.0
2024-02-28 09:00,2,이거옆집 질풍기상느낌이네기류역류,negative,0.9978671,-1.0986122886681098
2024-02-28 09:00,1,프레이야 씹상위호환,negative,0.99857295,-0.6931471805599453
2024-02-28 09:00,16,와 진각컷신도 멋지다고 생각했는데 컷신 끈 버전도 멋지네요,positive,0.9991647,2.833213344056216
2024-02-28 09:00,0,이태윤 헌터 라마 등장,neutral,0.99899846,0.0
2024-02-28 09:00,48,컷씬 있으면 그냥저냥 평범하게 멋있는데끄니까 퀄리티 레전드인 진각이네,positive,0.9970209,3.8918202981106265
2024-02-28 09:00,48, 이 모션을 왜 가린거야,negative,0.99634427,-3.8918202981106265
2024-02-28 09:00,0,진각성이랑 캐릭터랑 이질감이 너무 쌤 애니메이션까지 포함 그 외에 다 좋은데,negative,0.9920392,-0.0
2024-02-28 09:00,0,몬헌 보우건 유저 느낌 나서 기대중인 직업,positive,0.99753654,0.0
2024-02-28 09:00,10,사령인파트슈트래블러남스핏소마 스킬 하나씩 다 섞어놨네,neutral,0.9738636,2.3978952727983707
2024-02-28 09:00,10, 애내 소재고갈온거 맞는듯,negative,0.99935085,-2.3978952727983707
2024-02-28 09:00,18,소재가 고갈되니 컨셉에 안맞고 어중이떠중이를 만드니 재미없어 보이네,negative,0.9989379,-2.9444389791664403
2024-02-28 09:00,18, 그냥 이벤트용이지,neutral,0.99682546,2.9444389791664403
2024-02-28 09:00,18, 헌터나 비질이나 애정으로 키울 컨셉은 아닐듯,negative,0.9825435,-2.9444389791664403
2024-02-28 09:00,0,선딜이 너무 기네요,negative,0.99969435,-0.0
2024-02-28 09:00,0, 실전에서는 콤보를 많이 해야할듯,neutral,0.9982412,0.0
2024-02-28 09:00,1,저는 일부 스킬에서 남스핏이 떠올랐네요,neutral,0.9990086,0.6931471805599453
2024-02-28 09:00,6,뭐가 뻥뻥 터지긴 하는데 캐릭터가 되게 심심해보이네요,negative,0.9999701,-1.9459101490553128
2024-02-28 09:00,0,아니 뭔 영상 올리는 속도가,neutral,0.9730925,0.0
2024-02-28 09:00,0,헌터는 퍼뎀캐 인가요,neutral,0.9952539,0.0
2024-02-28 09:00,1,퍼댐 물공이에여,neutral,0.98811495,0.6931471805599453
2024-02-28 09:00,0,비질이 던파스럽고 이쁘네,positive,0.99727565,0.0
2024-02-28 09:00,0,차단하고 도배로 신고,neutral,0.91647047,0.0
2024-02-28 09:00,8,이사람 밴 못시키나요,negative,0.9949787,-2.19722457733622
2024-02-28 09:00,5,윤명진 대표님 복귀만을 눈빠지게 기다리면 개추,negative,0.9989247,-1.791759469228055
2024-02-28 09:00,0,혹시나 했는데 역시나,neutral,0.990928,0.0
2024-02-28 09:00,0,비질란테도 보여주세요,neutral,0.99531746,0.0
2024-02-28 09:00,3,진각일러없는게 더 자연스러운게 신기하네,negative,0.9644161,-1.3862943611198906
2024-02-28 09:00,0,진짜 둘 다 개 씹 별로다,negative,0.9989613,-0.0
2024-02-28 09:00,0, 얘네 유입 노릴 생각 없구나간만에 일러 좀 예쁘게 뽑았다 싶더니만 내용물이 별로여도 너무 별로네,negative,1.0,-0.0
2024-02-28 09:00,14,배메부터 그렇지만 확실히 컷신 일러스트 퀄리티가 올라간듯 색감이 화려해진것같고진각은 모자모양이 말년병장이 떠오르는 무언가 그래도 일러스트 이뻐서 다행전반적인 느낌은 트러블슈터 트래블러 아스트라팔케는 보면 볼수록 유희왕에 계열 몬스터들이 떠오름,positive,0.99968314,2.70805020110221
2024-02-28 09:00,54,뭐지,neutral,0.99274534,4.007333185232471
2024-02-28 09:00,54, 이 여자 트러블슈터 같은 느낌은,neutral,0.9995154,4.007333185232471
2024-02-28 09:00,0,그건 비질란테아님,neutral,0.99681914,0.0
2024-02-28 09:00,0,털벤져,negative,0.99277765,-0.0
2024-02-28 09:00,0,진각 스킬에서 남런이 보였어요,neutral,0.9422943,0.0
2024-02-28 09:00,1,둘다 퍼뎀에 물마공,negative,0.99696016,-0.6931471805599453
2024-02-28 09:00,0,무기가 너무 커서 좀 이상하네,negative,0.999542,-0.0
2024-02-28 09:00,0,진각만 이쁘네,positive,0.9955752,0.0
2024-02-28 09:00,8,헌터는 이펙트 심심한 런처느낌인데 도 아니라서 시간 좀 지나면 아처들중에 제일 도태댈거 같음비달리 요수게이지 회복만 빠르면 유틸 무적 딜 피회복 그냥 개사기인데 요수게이지 회복 손봐서 나올듯헌터는 음,negative,0.95252156,-2.19722457733622
2024-02-28 09:00,0,비질란테는 각연출이 진각급이네용,neutral,0.99926406,0.0
2024-02-28 09:00,2,둘다 예쁘게 잘나왓네요,positive,0.9992887,1.0986122886681098
2024-02-28 09:00,0,비질란테 진각 퀄,negative,0.97378594,-0.0
2024-02-28 10:00,1,아 먼가 조잡하네,negative,0.9997205,-0.6931471805599453
2024-02-28 10:00,0,레이드랩터즈 닮기도 했는데사이퍼즈 파수꾼의 비비가 모티브인 느낌이 드네요,neutral,0.99933463,0.0
2024-02-28 10:00,0,저만 레이드랩터즈 생각난게 아니였네요,neutral,0.9939043,0.0
2024-02-28 10:00,0,와 무기가 진 존나 크네,neutral,0.9531607,0.0
2024-02-28 10:00,0,재미는 비질이 있어보이는데 손가락이 따라줄지 모르겠다,neutral,0.6459733,0.0
2024-02-28 10:00,3,게임내 직업이 개가 넘는데 더이상 완전히 안겹치는걸 대체 어떻게 낼수있을까,neutral,0.9793609,1.3862943611198906
2024-02-28 10:00,6,직업이 몇갠데 당연한거아니냐,neutral,0.9975635,1.9459101490553128
2024-02-28 10:00,0,잘 봤습니다,positive,0.99806887,0.0
